speaker,dominant_emotion,emotion_score_mean,emotion_transitions,emotion_volatility,total_segments
SPEAKER_08,joy,-0.273,138,1.387,227
SPEAKER_05,anger,-0.786,4,1.41,7
SPEAKER_12,anger,-2,0,0,1
SPEAKER_10,anger,-0.5,1,1.732,4
SPEAKER_17,joy,1,0,0.0,4
SPEAKER_03,joy,-0.2,2,1.643,5
SPEAKER_06,joy,-0.286,6,1.604,7
SPEAKER_16,joy,-0.357,8,1.447,14
SPEAKER_04,joy,0.167,3,1.329,6
SPEAKER_07,joy,-0.25,7,1.545,12
SPEAKER_09,joy,0.167,2,1.443,3
SPEAKER_00,joy,1,0,0.0,2
SPEAKER_14,joy,0.5,2,1.225,6
SPEAKER_11,anger,-2,0,0.0,5
SPEAKER_13,joy,0.5,2,1.0,4
SPEAKER_02,anger,-1.5,2,1.225,6
SPEAKER_01,joy,0.333,1,1.155,3
SPEAKER_15,anger,-0.714,4,1.604,7
